4210001|Nam|Nguyễn Văn|Anh|2002-05-10|CTK42A|123456789|0901.234.567|Hà Nội|Mạng máy tính, Hệ điều hành, Lập trình CSDL
4410002|Nữ|Trần Thị|Bích|2001-12-22|CTK44B|987654321|0912345678|TP.HCM|Lập trình mạng, Đồ án cơ sở
4710003|Nam|Lê Hoàng|Minh|2003-03-15|CTK47C|456789123|0987654321|Đà Nẵng|Phương pháp NCKH, Lập trình CSDL, Mạng máy tính
4910004|Nữ|Phạm Thị|Hoa|2002-08-08|CTK49A|654321987|0934567890|Hải Phòng|Lập trình trên thiết bị di động, An toàn và bảo mật hệ thống
4710005|Nam|Ngô Quang|Huy|2001-11-30|CTK47A|192837465|0976543210|Cần Thơ|Mạng máy tính, Đồ án cơ sở, An toàn và bảo mật hệ thống
4810006|Nam|Trần Văn|Tuấn|2002-07-12|CTK48B|111222333|0901122334|Hà Nội|Lập trình CSDL, Mạng máy tính
4410007|Nữ|Lê Thị|Lan|2002-09-21|CTK44C|222333444|0912233445|Đà Nẵng|Hệ điều hành, An toàn và bảo mật
4310008|Nam|Phạm Văn|Long|2003-01-05|CTK43A|333444555|0983344556|TP.HCM|Mạng máy tính, Lập trình mạng
4510009|Nữ|Nguyễn Thị|Hạnh|2002-03-18|CTK45B|444555666|0934455667|Hải Phòng|Lập trình trên thiết bị di động, Hệ điều hành
4710010|Nam|Lý Văn|Phong|2001-10-29|CTK47A|555666777|0975566778|Cần Thơ|Đồ án cơ sở, An toàn và bảo mật hệ thống
5010001|Nam|Đỗ Văn|Nam|2002-02-10|CTK50A|666111222|0902111222|Hà Nội|Mạng máy tính, Lập trình CSDL
5110002|Nữ|Võ Thị|Lan|2001-05-18|CTK51B|777222333|0912333445|TP.HCM|Hệ điều hành, Đồ án cơ sở
5210003|Nam|Phan Văn|Tuấn|2002-08-25|CTK52C|888333444|0923444556|Đà Nẵng|Lập trình mạng, Phương pháp NCKH
5310004|Nữ|Trương Thị|Hạnh|2000-11-22|CTK53A|999444555|0934555667|Hải Phòng|Lập trình trên thiết bị di động, An toàn và bảo mật hệ thống
5410005|Nam|Nguyễn Văn|Khoa|2003-01-10|CTK54B|101555666|0945666778|Cần Thơ|Mạng máy tính, Đồ án cơ sở
5510006|Nam|Lê Hoàng|Minh|2001-03-15|CTK55A|111555777|0956777889|Hà Nội|Phương pháp NCKH, Lập trình CSDL
5610007|Nữ|Phạm Thị|Hoa|2002-06-20|CTK56B|222666888|0967888990|TP.HCM|Hệ điều hành, Đồ án cơ sở
5710008|Nam|Ngô Quang|Huy|2000-09-10|CTK57C|333777999|0978999001|Đà Nẵng|Mạng máy tính, Lập trình mạng
5810009|Nữ|Võ Thị|Lan|2001-12-05|CTK58A|444888111|0989000112|Hải Phòng|Lập trình trên thiết bị di động, An toàn và bảo mật hệ thống
5910010|Nam|Trần Văn|Tuấn|2002-04-15|CTK59B|555999222|0990111223|Cần Thơ|Lập trình CSDL, Đồ án cơ sở
6010001|Nam|Nguyễn Văn|An|2002-05-12|CTK60A|666111333|0902111333|Hà Nội|Mạng máy tính, Hệ điều hành
6110002|Nữ|Trần Thị|Bích|2001-12-24|CTK61B|777222444|0912333555|TP.HCM|Lập trình mạng, Đồ án cơ sở
6210003|Nam|Phan Văn|Tuấn|2002-08-26|CTK62C|888333555|0923444666|Đà Nẵng|Phương pháp NCKH, Lập trình CSDL
6310004|Nữ|Trương Thị|Hạnh|2000-11-25|CTK63A|999444666|0934555777|Hải Phòng|Lập trình trên thiết bị di động, An toàn và bảo mật hệ thống
6410005|Nam|Nguyễn Văn|Khoa|2003-01-11|CTK64B|101555777|0945666888|Cần Thơ|Mạng máy tính, Đồ án cơ sở
6510006|Nam|Lê Hoàng|Minh|2001-03-16|CTK65A|111555888|0956777999|Hà Nội|Phương pháp NCKH, Lập trình CSDL
6610007|Nữ|Phạm Thị|Hoa|2002-06-21|CTK66B|222666999|0967889000|TP.HCM|Hệ điều hành, Đồ án cơ sở
6710008|Nam|Ngô Quang|Huy|2000-09-11|CTK67C|333777000|0978999111|Đà Nẵng|Mạng máy tính, Lập trình mạng
6810009|Nữ|Võ Thị|Lan|2001-12-06|CTK68A|444888222|0989000223|Hải Phòng|Lập trình trên thiết bị di động, An toàn và bảo mật hệ thống
6910010|Nam|Trần Văn|Tuấn|2002-04-16|CTK69B|555999333|0990111334|Cần Thơ|Lập trình CSDL, Đồ án cơ sở
